Indikator,Ausprägung,Jahr,Raumbezug,Indikatorwert,Basiswert 1,Basiswert 2,Name Basiswert 1,Name Basiswert 2
Arbeitslose,bis 24 Jahre,2022,Stadt München,"6,3",2315,36866.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,01 Altstadt - Lehel,"3,7",12.3,335.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,02 Ludwigsvorstadt - Isarvorstadt,"4,6",58.3,1259.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,03 Maxvorstadt,"4,3",42.3,988.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,04 Schwabing - West,"4,8",56,1157.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,05 Au - Haidhausen,"4,6",60,1308.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,06 Sendling,"5,7",60.5,1061.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,07 Sendling - Westpark,"6,2",89.5,1445.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,08 Schwanthalerhöhe,6,46.5,771.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,09 Neuhausen - Nymphenburg,6,126.3,2103.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,10 Moosach,"6,7",100.5,1494.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,11 Milbertshofen - Am Hart,7,151.8,2181.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,12 Schwabing - Freimann,"6,9",121.5,1766.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
